=,=,,,,,,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,U,U,=,=
=,=,,,,,,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,,,=,=
=,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,=,=,=,=,=,=,=,=,=,=,=,,,=,=
=,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,=,=,=,=,=,=,=,=,=,=,,,=,=
=,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,=,=,=,=,=,=,=,=,=,,,=,=
=,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,=,=,=,=,=,=,=,=,,,=,=
=,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,=,=,=,=,=,=,=,,,=,=
=,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,=,=,=,=,=,=,=,,,=,=
=,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,=,=,=,=,=,=,=,,,=,=
=,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=,=,=,=,=,=,=,=,,,=,=
=,=,,,,,,,,,,,,,,,,,,,,,,,,/,/,,,,,,/,/,,,,,,,/,,,,,,,,=,=,=,=,=,=,=,=,,,=,=
=,=,,,,,,,,,,,,,,,,,,,,,,,,/,/,,,,,,/,/,,,,,,,/,,,,,,,,=,=,=,=,=,=,=,=,,,=,=
=,=,,,,,,,,,,,,,,,,,/,/,,,,,,/,/,,,,,,/,/,,,,,,,/,,,,,,,,,,,,,,,,,,=,=
=,=,,,,,,,,,,,,,,,,,/,/,,,,,,/,/,,,,,,/,/,,,,,,,/,,,,,,,,,,,,,,,,,,=,=
=,=,,,,,,,,,,,/,/,,,,,/,/,,,,,,/,/,,,,,,/,/,,,,,,,/,,,,,,,,,,,,,,,,,,=,=
=,=,,,,,,P,,,,,/,/,,,,,/,/,,,,,,/,/,,,,,,/,/,,,,,,,/,,,,,,,,,,,,,,,,U,U,=,=
=,=,=,=,=,=,=,=,=,=,=,=,=,=,,,,,/,/,,,,,,/,/,,,,,,/,/,,,,,,,/,,,,,,,=,=,=,=,=,=,=,=,=,=,=,=,=
=,=,=,=,=,=,=,=,=,=,=,=,=,=,,,,,/,/,,,,,,/,/,,,,,,/,/,,,,,,,/,,,,,,,=,=,=,=,=,=,=,=,=,=,=,=,=
=,=,=,=,=,=,=,=,=,=,=,=,=,=,,,,,/,/,,,,,,/,/,,,,,,/,/,,,,,,,/,,,,,,,=,=,=,=,=,=,=,=,=,=,=,=,=
